"filename", "language", "Markdown", "JavaScript", "HTML", "JSON", "CSS", "JavaScript JSX", "XML", "comment", "blank", "total"
"/home/raphaelohai5/GitHubLandingPage/src/assets/pilot.svg", "XML", 0, 0, 0, 0, 0, 0, 17, 0, 1, 18
"/home/raphaelohai5/GitHubLandingPage/src/assets/planet.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/python.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"/home/raphaelohai5/GitHubLandingPage/src/assets/react.svg", "XML", 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
"/home/raphaelohai5/GitHubLandingPage/src/assets/retry.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"/home/raphaelohai5/GitHubLandingPage/src/assets/rightArrow.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 0, 2, 19
"/home/raphaelohai5/GitHubLandingPage/src/assets/section9Image1.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/section9Image2.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/srock2.svg", "XML", 0, 0, 0, 0, 0, 0, 12, 0, 1, 13
"/home/raphaelohai5/GitHubLandingPage/src/assets/star.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/stars.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/stars6.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/starsShips.svg", "XML", 0, 0, 0, 0, 0, 0, 9, 0, 1, 10
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock.svg", "XML", 0, 0, 0, 0, 0, 0, 76, 0, 1, 77
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock1.svg", "XML", 0, 0, 0, 0, 0, 0, 66, 0, 1, 67
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 1, 2, 45
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock2Dextop.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 5, 5, 45
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 40, 0, 1, 4, 45
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock5.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 42, 0, 0, 3, 45
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock6.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 43, 0, 0, 3, 46
"/home/raphaelohai5/GitHubLandingPage/src/assets/strock7.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 166, 0, 1, 3, 170
"/home/raphaelohai5/GitHubLandingPage/src/assets/strockIcon1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"/home/raphaelohai5/GitHubLandingPage/src/assets/strockIcon2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 17, 0, 1, 3, 21
"/home/raphaelohai5/GitHubLandingPage/src/assets/strockIcon3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 3, 21
"/home/raphaelohai5/GitHubLandingPage/src/components/Section1.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 74, 0, 2, 5, 81
"/home/raphaelohai5/GitHubLandingPage/src/components/Section3.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 44, 0, 1, 3, 48
"/home/raphaelohai5/GitHubLandingPage/src/components/animations/absoluteRender.js", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 2, 19
"/home/raphaelohai5/GitHubLandingPage/src/components/animations/index.js", "JavaScript", 0, 17, 0, 0, 0, 0, 0, 1, 3, 21
"/home/raphaelohai5/GitHubLandingPage/src/components/animations/slideAnimator.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 1, 2, 24
"/home/raphaelohai5/GitHubLandingPage/src/components/codedemo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 3, 8, 77
"/home/raphaelohai5/GitHubLandingPage/src/components/codespace.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 177, 0, 11, 8, 196
"/home/raphaelohai5/GitHubLandingPage/src/components/commitImage.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 23, 0, 28, 3, 54
"/home/raphaelohai5/GitHubLandingPage/src/components/commitsDemo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 66, 0, 0, 5, 71
"/home/raphaelohai5/GitHubLandingPage/src/components/copilotdemo.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 35, 0, 1, 5, 41
"/home/raphaelohai5/GitHubLandingPage/src/components/index.js", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 7, 21, 121
"/home/raphaelohai5/GitHubLandingPage/src/components/section2.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 115, 0, 3, 3, 121
